url,title,genre,views,rating
https://www.webtoons.com/en/horror/gremoryland/list?title_no=1893,GremoryLand,Horror,21.8M,9.48
https://www.webtoons.com/en/horror/have-you-any-fear/list?title_no=1197,Have You Any Fear?,Horror,4.6M,8.62
https://www.webtoons.com/en/horror/melvinas-therapy/list?title_no=1021,Melvina's Therapy,Horror,26.8M,9.72
https://www.webtoons.com/en/thriller/ant/list?title_no=3482,ANT,Thriller,1.6M,9.14
https://www.webtoons.com/en/thriller/hell-is-other-people/list?title_no=3176,Hell is Other People,Thriller,4.7M,9.52
https://www.webtoons.com/en/thriller/sweethome/list?title_no=1285,Sweet Home,Thriller,246.5M,9.85
https://www.webtoons.com/en/horror/the-red-book/list?title_no=467,The Red Book,Horror,15.9M,8.88
https://www.webtoons.com/en/thriller/night-of-silence/list?title_no=3765,Night of Silence,Thriller,"515,135",9.15
https://www.webtoons.com/en/thriller/ar-toon/list?title_no=775,Unknown Caller,Thriller,8.6M,9.55
https://www.webtoons.com/en/horror/horang-horror/list?title_no=2185,Horang's Nightmare,Horror,21.1M,9.72
https://www.webtoons.com/en/thriller/fake-humans/list?title_no=3452,Fake Humans,Thriller,1.7M,9.4
https://www.webtoons.com/en/horror/roach/list?title_no=4084,Roach,Horror,"725,652",9.24
https://www.webtoons.com/en/supernatural/eros-conquers-all/list?title_no=3312,Eros Conquers All,Supernatural,1.4M,9.65
https://www.webtoons.com/en/thriller/the-predator/list?title_no=3454,The Predator,Thriller,3.2M,9.44
https://www.webtoons.com/en/thriller/escape-room/list?title_no=1815,Escape Room,Thriller,23.6M,9.66
https://www.webtoons.com/en/horror/tales-of-the-unusual/list?title_no=68,Tales of the Unusual,Horror,150.2M,9.65
https://www.webtoons.com/en/mystery/chasing-tails/list?title_no=3440,Chasing Tails,Mystery,4.9M,9.8
https://www.webtoons.com/en/thriller/disconnected-from-reality/list?title_no=4182,Disconnected from Reality,Thriller,1M,9.5
https://www.webtoons.com/en/horror/the-dummys-dummy/list?title_no=2874,The Dummy's Dummy,Horror,2.3M,9.8
https://www.webtoons.com/en/horror/uriah/list?title_no=1607,Uriah,Horror,22.7M,9.8
https://www.webtoons.com/en/horror/counting-sheep/list?title_no=3795,Counting Sheep,Horror,"401,691",9.37
https://www.webtoons.com/en/thriller/not-even-bones/list?title_no=1756,Not Even Bones,Thriller,109.4M,9.66
https://www.webtoons.com/en/supernatural/im-the-grim-reaper/list?title_no=1697,I'm the Grim Reaper,Supernatural,115.4M,9.79
https://www.webtoons.com/en/supernatural/clinic-of-horrors/list?title_no=3414,Clinic of Horrors,Supernatural,57.9M,9.61
https://www.webtoons.com/en/thriller/homesick/list?title_no=2759,Homesick,Thriller,57M,9.81
https://www.webtoons.com/en/mystery/parallelcity/list?title_no=2053,Parallel City,Mystery,19.2M,9.84
https://www.webtoons.com/en/sf/duty-after-school/list?title_no=370,Duty After School,Sci-fi,6.1M,9.67
https://www.webtoons.com/en/horror/brain-anthology/list?title_no=2207,BRAIN Anthology,Horror,6.1M,9.4
https://www.webtoons.com/en/thriller/hellbound/list?title_no=3598,Hellbound,Thriller,2M,9.32
https://www.webtoons.com/en/sf/harmonia/list?title_no=3253,Harmonia,Sci-fi,"839,715",9.45
https://www.webtoons.com/en/sf/seed/list?title_no=1480,Seed,Sci-fi,26.5M,9.7
https://www.webtoons.com/en/sf/rebirth/list?title_no=1412,Rebirth,Sci-fi,99.3M,9.75
